Transaction ID,Customer ID,Product ID,Quantity,Price per Unit,Discount,Total Amount,Payment Method,Transaction Date
f43e0d79-c2ed-4f19-9147-7f7e11a54c51,e393279b-4ce2-4fb0-827f-3679e7170219,5149f844-2eeb-44d7-b0cc-107ee197de22,2,177.25,0.07,329.68,Cash,2024-03-13 23:42:27
e20af78d-234a-4a41-a15f-2eae7c0cba94,62f8815d-f670-473e-acbd-1beb82a7ba11,0a398407-b1d3-44b7-8989-e13ba82b7cfc,1,94.6,0.18,77.57,Gift Card,2023-10-13 20:24:45
e8cc20b8-576c-44dc-9ee1-41e926670d89,4f5bce86-71ae-499e-8b9f-87df7c885a65,e05d8c7a-9dbe-4765-8f86-be306a183868,7,70.77,0.2,396.31,Gift Card,2024-06-12 16:38:43
2d76c2f4-7dcb-4504-b8f3-15cb7665464d,e276c807-c6c4-47a0-a53f-3f22e22ccc1a,a6f7af19-7eb7-44aa-87a4-77c851b79f9b,1,261.15,0.15,221.98,Gift Card,2023-12-18 04:13:46
87f80b6a-8313-48c3-b63b-2973a1e09891,046eda0d-b24c-4e1b-8205-73103341f7c3,b1b35495-1437-4c28-ae82-5b89b79c8445,3,70.36,0.12,185.75,Credit Card,2024-04-10 05:38:52
b3fd620d-756d-42c2-aa48-dfabe821144c,7abe67f8-a726-429c-b4b9-18ed7fe46eb8,45c0515f-7095-49fc-bded-669b976a0816,8,99.76,0.25,598.56,PayPal,2024-05-27 02:33:26
78008aeb-bf63-409f-baa9-ce4dd3946569,e393279b-4ce2-4fb0-827f-3679e7170219,a6f7af19-7eb7-44aa-87a4-77c851b79f9b,5,261.15,0.05,1240.46,Cash,2024-08-21 18:59:05
47a2b5f8-5efa-4485-a71c-938b55a24944,e4b78bf0-c1a1-4062-ba37-f31c7470485a,c5b855e0-13ff-41be-9099-c48a8935e181,1,66.01,0.02,64.69,Gift Card,2024-06-10 12:20:05
418d30e3-f743-408a-bfd8-9e5645a7bfd3,61ce44a4-9501-46de-8155-fb0c2143b166,2192dfa1-6ac3-45cd-a338-c21b32fb53db,1,48.53,0.06,45.62,PayPal,2024-01-09 18:16:52
aa40b928-f214-4e1e-b569-9c71171b3908,046eda0d-b24c-4e1b-8205-73103341f7c3,0a398407-b1d3-44b7-8989-e13ba82b7cfc,10,94.6,0.02,927.08,Credit Card,2024-03-24 03:29:03
4067bbb4-c5a8-4723-8932-939b938319e2,2cad6c04-7423-4e66-bdbc-f97b47529a54,5149f844-2eeb-44d7-b0cc-107ee197de22,3,177.25,0.09,483.89,PayPal,2023-12-01 01:49:52
129f9190-8f6e-4b90-a5d4-3b8c81e4f173,27d77472-e7ef-4afb-8ee4-dea2dd1b1bb6,6a87fc56-0c34-4509-a9bb-550ec71aa254,7,235.38,0.24,1252.22,PayPal,2023-10-02 09:01:25
8a53bba2-5767-4fc4-9452-f675a4568879,a32608f5-8e5d-4f5f-b79e-74c6dccc3d10,39158193-094f-4597-9e56-17fb93f0b565,6,244.16,0.06,1377.06,PayPal,2024-08-07 02:18:51
f3006c54-da99-48c6-9514-de9fcd77fe9c,4f5bce86-71ae-499e-8b9f-87df7c885a65,f815da2a-b965-41bb-adcb-ee2b766ca373,10,78.17,0.15,664.44,Gift Card,2024-08-18 01:42:55
f334a6ce-db6c-4010-b0ec-b1485fb346ca,6d4f5aee-e5e8-4676-b4e6-58f089f2bef8,0a398407-b1d3-44b7-8989-e13ba82b7cfc,7,94.6,0.05,629.09,Gift Card,2024-07-01 08:16:05
776986d7-e10f-479f-bf25-53f459ce002f,e276c807-c6c4-47a0-a53f-3f22e22ccc1a,5149f844-2eeb-44d7-b0cc-107ee197de22,10,177.25,0.17,1471.18,Credit Card,2024-08-10 10:11:21
5ed6a5e5-ace9-4dee-bb2b-d5d91156c177,f52ba222-690d-4c87-ad84-c79eeadf32c5,3752d3e5-c4d9-40a3-81f9-cd18ed6716f3,7,135.61,0.14,816.37,PayPal,2024-08-04 23:58:32
56b3ecfc-af9e-42e6-abd0-af9ebaf2a927,e4b78bf0-c1a1-4062-ba37-f31c7470485a,2192dfa1-6ac3-45cd-a338-c21b32fb53db,3,48.53,0.21,115.02,PayPal,2024-03-15 18:33:00
89d7f342-bfcd-434e-8be9-0929b9247987,e393279b-4ce2-4fb0-827f-3679e7170219,0a398407-b1d3-44b7-8989-e13ba82b7cfc,5,94.6,0.13,411.51,Gift Card,2024-02-15 18:59:18
